portfolio,total_fees,taxes_owed,num_trades,num_trades_saved,end_price_HODL,end_price_rebalanced
GRS-FLO-PIVX-EMC-ETC-EFL-IOP-BTC-BCY-XVG,1806.8231527252642,28328.589738460967,1552,116,56483.32015978875,79366.02883583664
EMC-NLG-IOC-ZEC-LSK-NAV-ZCL-XST-ETC-BTC,1534.6846940559033,21878.69955325337,1454,106,20758.154448453126,58881.47553977363
DCR-LBC-WAVES-STRAT-BLK-NAV-XVG-VTC-XMR-PTC,1348.9985952474276,21743.717670809303,1402,0,40794.73485681879,53065.03855841058
CLAM-CURE-XST-XLM-BYC-SPR-LSK-EGC-IOC-SYS,1750.1000002624883,23575.943903494546,1628,0,22600.825198336337,59645.01834443073
RVR-NAV-EXCL-WAVES-DGB-RDD-SBD-PPC-XMG-BRK,1948.257200450653,27568.908351389222,1542,0,16237.594109861651,59604.77694674641
DMD-EMC-NXS-NEO-ZEC-ERC-LBC-SPR-NEOS-BCY,1737.6855521796917,21535.52405113944,1584,0,50948.328167171945,53754.69916240551
NEOS-CURE-SYS-RDD-BTC-POT-XMY-RVR-EXP-NLG,1039.9481895947627,15150.014325100961,1345,107,13900.143898885937,33923.21720543778
XMG-GRS-SBD-IOC-DCR-IOP-BSD-VTC-EGC-VIA,2888.074928546042,40480.80828403128,1690,0,39448.6463121768,101885.59346265873
IOP-WAVES-XST-ERC-NAV-OK-DOPE-NXT-SEQ-BURST,3362.2908355215454,47064.95084741557,1752,0,20943.71284314766,93714.85833964642
BRK-STEEM-XRP-AEON-EFL-CLOAK-XVG-XLM-ERC-XMR,2908.407249091034,42316.993178833094,1620,0,48155.32321586414,113570.52098196503
NAV-STEEM-CURE-AUR-POT-EFL-TX-XST-OK-EXP,1842.4431138362074,26479.892913908672,1604,0,16838.323263122955,56760.81981965453
IOC-BLK-DASH-XRP-ERC-BYC-DCR-FLO-EXCL-DGB,985.8400619554934,13664.905428568334,1468,0,17050.152916947547,38583.32541898416
NLG-SHIFT-EXCL-SLR-AEON-XMG-ZEC-ENRG-PIVX-ABY,1343.561189053929,17797.772214458466,1564,0,14599.23477857871,40547.43264862434
ETC-IOP-ERC-ZEC-OK-ZCL-VTC-XLM-AUR-BYC,2277.1678432960366,30740.89250607309,1788,0,19900.143909473376,77583.34023560092
NLG-XMG-EXP-LBC-XRP-DASH-DOPE-XLM-LTC-AMP,1122.196504002085,16610.372345971926,1444,0,16271.040449298052,37475.59738621874
BYC-SBD-BLK-GRC-NAV-SHIFT-ENRG-BRK-RDD-DOGE,1384.562813348065,17803.182665772074,1522,0,14204.764225567225,42113.72947218557
EFL-XMG-PTC-ZCL-DGB-DCR-XMY-LTC-GRC-OK,2476.3878778681956,36689.3859801174,1658,0,20616.943490366586,88456.71096311294
EBST-CLAM-NEOS-OK-MONA-DMD-REP-EMC-CLOAK-SBD,3713.429976714982,48544.164838747034,1784,0,27626.6084525354,108341.41659196664
POT-EXCL-REP-LSK-AUR-XRP-XVG-BRK-ETC-RBY,1613.934532060217,23870.58230167293,1498,0,37831.244274856945,55353.64575886693
