,hodl,hourly,daily,weekly,monthly
MANA-EMC2-XRP-GNO-ARK,3034.936579210481,5332.866728924784,4761.604787799997,4454.271811717186,3836.245930220805
NMR-BRX-BCHSV-ANT-SPC,2821.4034530847225,3.3810613671028906e+67,261369.43327208603,50465.25740119383,4631.0488807293905
RCN-SEQ-DTA-STEEM-POWR,2250.412903569328,7895.687081833205,5449.985206470841,3567.731113781654,2424.51784755168
PART-NLG-PIVX-PAX-TKS,3654.0213592416358,12232.812833493084,9773.466100901811,10286.900452490041,3999.826348229728
ADA-XMR-XWC-GBG-IOC,2664.985856542965,5238.875213494432,3625.1117113941377,3181.375490839123,2674.9068922255938
DYN-VEE-TKS-MONA-MER,2549.6751802684216,8024.0028979413855,4975.745047728136,3795.00926259385,2964.4647766251423
USDS-NLG-EMC2-NXS-SC,3140.330186429983,8959.11473302604,5798.82367980709,5489.202220067349,3742.632535037065
SBD-DMT-MONA-GLD-XLM,3472.3879201455597,12532.154588244866,10300.661705311848,11053.271642797348,4997.792687901851
UKG-LSK-BOXX-FLDC-GBYTE,2635.929095525039,8425.804582834455,7354.675830423866,6371.819255533491,4715.123122606786
PAY-RCN-ADX-ETC-HMQ,2612.8481245381217,6496.428227997082,5194.040634500046,3795.373958480248,3229.2309784559307
XEL-WAX-PRO-XDN-XLM,2329.6314015403163,5650.455480264005,4124.674309883503,4057.706703758272,4141.962538215619
PPC-GO-UPP-LOOM-LBC,2526.1926540457976,7826.2238033944095,6384.680722289895,5772.974368002679,4231.887651098343
LOOM-MUE-CRW-STORJ-GNT,2443.66276708685,6281.552168664247,4525.437019616169,3779.279364005511,2885.451587276744
LTC-WAX-LRC-NLG-SNT,2950.12752493614,6956.26529381698,5432.231117413844,5146.534118385745,4809.1558026423545
IGNIS-LUN-DTA-BNT-MANA,2333.153681115623,5737.98652578644,5113.905833695021,5030.777053468226,3920.4870149420367
MANA-SIB-NGC-TIX-DGB,3114.3320631756465,9512.104039382626,5856.215019439754,5069.090573046786,4245.511296544247
EDG-ENG-EBST-POWR-DOPE,2583.878958527279,5490.2667769115915,4684.651104299414,4006.600727211327,3217.83663743318
